rank,title
1,Avatar
2,Avengers: Endgame
3,Avatar: The Way of Water
4,Titanic
5,Star Wars Ep. VII: The Force Awakens
6,Avengers: Infinity War
7,Spider-Man: No Way Home
8,Jurassic World
9,The Lion King
10,The Avengers
11,Furious 7
12,Top Gun: Maverick
13,Frozen II
14,Barbie
15,Avengers: Age of Ultron
16,The Super Mario Bros. Movie
17,Black Panther
18,Star Wars Ep. VIII: The Last Jedi
19,Harry Potter and the Deathly Hallows:…
20,Jurassic World: Fallen Kingdom
21,Frozen
22,Beauty and the Beast
23,Incredibles 2
24,The Fate of the Furious
25,Iron Man 3
26,Minions
27,Captain America: Civil War
28,Spider-Man: Far From Home
29,Aquaman
30,Captain Marvel
31,Transformers: Dark of the Moon
32,The Lord of the Rings: The Return of …
33,Skyfall
34,Transformers: Age of Extinction
35,The Dark Knight Rises
36,Toy Story 4
37,Star Wars: The Rise of Skywalker
38,Toy Story 3
39,Pirates of the Caribbean: Dead Man’…
40,Joker
41,Jurassic Park
42,Rogue One: A Star Wars Story
43,Aladdin
44,Pirates of the Caribbean: On Stranger…
45,Despicable Me 3
46,Star Wars Ep. I: The Phantom Menace
47,Alice in Wonderland
48,Finding Dory
49,The Hobbit: An Unexpected Journey
50,Jurassic World: Dominion
51,Zootopia
52,The Dark Knight
53,The Lion King
54,Despicable Me 2
55,Oppenheimer
56,Harry Potter and the Sorcerer’s Stone
57,Jumanji: Welcome to the Jungle
58,Pirates of the Caribbean: At World’…
59,The Hobbit: The Desolation of Smaug
60,The Jungle Book
61,Doctor Strange in the Multiverse of M…
62,Harry Potter and the Deathly Hallows:…
63,The Hobbit: The Battle of the Five Ar…
64,Minions: The Rise of Gru
65,Harry Potter and the Order of the Pho…
66,Finding Nemo
67,Shrek 2
68,Harry Potter and the Half-Blood Prince
69,The Lord of the Rings: The Two Towers
70,Chang jin hu
71,Spider-Man 3
72,The Lord of the Rings: The Fellowship…
73,Ice Age: Dawn of the Dinosaurs
74,The Secret Life of Pets
75,Harry Potter and the Goblet of Fire
76,Ice Age: Continental Drift
77,Bohemian Rhapsody
78,Spectre
79,Spider-Man: Homecoming
80,Harry Potter and the Chamber of Secrets
81,Batman v Superman: Dawn of Justice
82,Guardians of the Galaxy Vol 2
83,The Hunger Games: Catching Fire
84,Venom
85,Black Panther: Wakanda Forever
86,Inside Out
87,Thor: Ragnarok
88,Star Wars Ep. III: Revenge of the Sith
89,Guardians of the Galaxy Vol 3
90,"Ni Hao, Li Huan Ying"
91,Transformers: Revenge of the Fallen
92,Zhan Lang 2
93,"The Twilight Saga: Breaking Dawn, Part 2"
94,Inception
95,Spider-Man
96,Wonder Woman
97,Independence Day
98,Fantastic Beasts and Where to Find Them
99,Shrek the Third
100,E.T. the Extra-Terrestrial
